,first_album,last_album,start_value,end_value
0,Euphoria Mourning,Higher Truth,45.827900912646676,50.154935812306334
1,Ultramega OK,King Animal,43.04635761589404,41.58004158004158
2,Audioslave,Revelations,42.11869814932993,42.64322916666667
